name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
A-Bomb,Male,yellow,Human,No Hair,203,Marvel Comics,-,good,441
Abe Sapien,Male,blue,Icthyo Sapien,No Hair,191,Dark Horse Comics,blue,good,65
Abin Sur,Male,blue,Ungaran,No Hair,185,DC Comics,red,good,90
Abomination,Male,green,Human / Radiation,No Hair,203,Marvel Comics,-,bad,441
Abraxas,Male,blue,Cosmic Entity,Black,0,Marvel Comics,-,bad,0
Absorbing Man,Male,blue,Human,No Hair,193,Marvel Comics,-,bad,122
Adam Monroe,Male,blue,-,Blond,0,NBC - Heroes,-,good,0
Adam Strange,Male,blue,Human,Blond,185,DC Comics,-,good,88
Agent 13,Female,blue,-,Blond,173,Marvel Comics,-,good,61
Agent Bob,Male,brown,Human,Brown,178,Marvel Comics,-,good,81
Agent Zero,Male,-,-,-,191,Marvel Comics,-,good,104
Air-Walker,Male,blue,-,White,188,Marvel Comics,-,bad,108
Ajax,Male,brown,Cyborg,Black,193,Marvel Comics,-,bad,90
Alan Scott,Male,blue,-,Blond,180,DC Comics,-,good,90
Alex Mercer,Male,-,Human,-,0,Wildstorm,-,bad,0
Alex Woolsly,Male,-,-,-,0,NBC - Heroes,-,good,0
Alfred Pennyworth,Male,blue,Human,Black,178,DC Comics,-,good,72
Alien,Male,-,Xenomorph XX121,No Hair,244,Dark Horse Comics,black,bad,169
Allan Quatermain,Male,-,-,-,0,Wildstorm,-,good,0
Amazo,Male,red,Android,-,257,DC Comics,-,bad,173
Ammo,Male,brown,Human,Black,188,Marvel Comics,-,bad,101
Ando Masahashi,Male,-,-,-,0,NBC - Heroes,-,good,0
Angel,Male,blue,-,Blond,183,Marvel Comics,-,good,68
Angel,Male,-,Vampire,-,0,Dark Horse Comics,-,good,0
Angel Dust,Female,yellow,Mutant,Black,165,Marvel Comics,-,good,57
Angel Salvadore,Female,brown,-,Black,163,Marvel Comics,-,good,54
Angela,Female,-,-,-,0,Image Comics,-,bad,0
Animal Man,Male,blue,Human,Blond,183,DC Comics,-,good,83
Annihilus,Male,green,-,No Hair,180,Marvel Comics,-,bad,90
Ant-Man,Male,blue,Human,Blond,211,Marvel Comics,-,good,122
Ant-Man II,Male,blue,Human,Blond,183,Marvel Comics,-,good,86
Anti-Monitor,Male,yellow,God / Eternal,No Hair,61,DC Comics,-,bad,0
Anti-Spawn,Male,-,-,-,0,Image Comics,-,bad,0
Anti-Venom,Male,blue,Symbiote,Blond,229,Marvel Comics,-,-,358
Apocalypse,Male,red,Mutant,Black,213,Marvel Comics,grey,bad,135
Aquababy,Male,blue,-,Blond,0,DC Comics,-,good,0
Aqualad,Male,blue,Atlantean,Black,178,DC Comics,-,good,106
Aquaman,Male,blue,Atlantean,Blond,185,DC Comics,-,good,146
Arachne,Female,blue,Human,Blond,175,Marvel Comics,-,good,63
Archangel,Male,blue,Mutant,Blond,183,Marvel Comics,blue,good,68
Arclight,Female,violet,-,Purple,173,Marvel Comics,-,bad,57
Ardina,Female,white,Alien,Orange,193,Marvel Comics,gold,good,98
Ares,Male,brown,-,Brown,185,Marvel Comics,-,good,270
Ariel,Female,purple,-,Pink,165,Marvel Comics,-,good,59
Armor,Female,black,-,Black,163,Marvel Comics,-,good,50
Arsenal,Male,-,Human,-,0,DC Comics,-,good,0
Astro Boy,Male,brown,-,Black,0,none,-,good,0
Atlas,Male,brown,Mutant,Red,183,Marvel Comics,-,good,101
Atlas,Male,blue,God / Eternal,Brown,198,DC Comics,-,bad,126
Atom,Male,blue,-,Red,178,DC Comics,-,good,68
Atom,Male,-,-,-,0,DC Comics,-,good,0
Atom Girl,Female,black,-,Black,168,DC Comics,-,good,54
Atom II,Male,brown,Human,Auburn,183,DC Comics,-,good,81
Atom III,Male,-,-,Red,0,DC Comics,-,good,0
Atom IV,Male,brown,-,Black,0,DC Comics,-,good,72
Aurora,Female,blue,Mutant,Black,180,Marvel Comics,-,good,63
Azazel,Male,yellow,Neyaphem,Black,183,Marvel Comics,red,bad,67
Azrael,Male,brown,Human,Black,0,DC Comics,-,good,0
Aztar,Male,-,-,-,0,DC Comics,-,good,0
Bane,Male,-,Human,-,203,DC Comics,-,bad,180
Banshee,Male,green,Human,Strawberry Blond,183,Marvel Comics,-,good,77
Bantam,Male,brown,-,Black,165,Marvel Comics,-,good,54
Batgirl,Female,-,-,-,0,DC Comics,-,good,0
Batgirl,Female,green,Human,Red,170,DC Comics,-,good,57
Batgirl III,Female,-,-,-,0,DC Comics,-,good,0
Batgirl IV,Female,green,Human,Black,165,DC Comics,-,good,52
Batgirl V,Female,-,-,-,0,DC Comics,-,good,0
Batgirl VI,Female,blue,-,Blond,168,DC Comics,-,good,61
Batman,Male,blue,Human,black,188,DC Comics,-,good,95
Batman,Male,blue,Human,Black,178,DC Comics,-,good,77
Batman II,Male,blue,Human,Black,178,DC Comics,-,good,79
Battlestar,Male,brown,-,Black,198,Marvel Comics,-,good,133
Batwoman V,Female,green,Human,Red,178,DC Comics,-,good,0
Beak,Male,black,-,White,175,Marvel Comics,-,good,63
Beast,Male,blue,Mutant,Blue,180,Marvel Comics,blue,good,181
Beast Boy,Male,green,Human,Green,173,DC Comics,green,good,68
Beetle,Male,-,-,-,0,Marvel Comics,-,bad,0
Ben 10,Male,-,-,-,0,DC Comics,-,good,0
Beta Ray Bill,Male,-,-,No Hair,201,Marvel Comics,-,good,216
Beyonder,Male,-,God / Eternal,-,0,Marvel Comics,-,good,0
Big Barda,Female,blue,New God,Black,188,DC Comics,-,bad,135
Big Daddy,Male,-,-,-,0,Icon Comics,-,good,0
Big Man,Male,blue,-,Brown,165,Marvel Comics,-,bad,71
Bill Harken,Male,-,Alpha,-,0,SyFy,-,good,0
Billy Kincaid,Male,-,-,-,0,Image Comics,-,bad,0
Binary,Female,blue,-,Blond,180,Marvel Comics,-,good,54
Bionic Woman,Female,blue,Cyborg,Black,0,none,-,good,0
Bird-Brain,Other,-,-,-,0,Marvel Comics,-,good,0
Bird-Man,Male,-,Human,-,0,Marvel Comics,-,bad,0
Bird-Man II,Male,-,Human,-,0,Marvel Comics,-,bad,0
Birdman,Male,-,God / Eternal,-,0,Hanna-Barbera,-,good,0
Bishop,Male,brown,Mutant,No Hair,198,Marvel Comics,-,good,124
Bizarro,Male,black,Bizarro,Black,191,DC Comics,white,neutral,155
Black Abbott,Male,red,-,Black,0,Marvel Comics,-,bad,0
Black Adam,Male,brown,-,Black,191,DC Comics,-,bad,113
Black Bolt,Male,blue,Inhuman,Black,188,Marvel Comics,-,good,95
Black Canary,Female,blue,Human,Blond,165,DC Comics,-,good,58
Black Canary,Female,blue,Metahuman,Blond,170,DC Comics,-,good,59
Black Cat,Female,green,Human,Blond,178,Marvel Comics,-,good,54
Black Flash,Male,-,God / Eternal,-,0,DC Comics,-,neutral,0
Black Goliath,Male,-,-,-,0,Marvel Comics,-,good,0
Black Knight III,Male,brown,Human,Brown,183,Marvel Comics,-,good,86
Black Lightning,Male,brown,-,No Hair,185,DC Comics,-,good,90
Black Mamba,Female,green,-,Black,170,Marvel Comics,-,bad,52
Black Manta,Male,black,Human,No Hair,188,DC Comics,-,bad,92
Black Panther,Male,brown,Human,Black,183,Marvel Comics,-,good,90
Black Widow,Female,green,Human,Auburn,170,Marvel Comics,-,good,59
Black Widow II,Female,blue,-,Blond,170,Marvel Comics,-,good,61
Blackout,Male,red,Demon,White,191,Marvel Comics,white,bad,104
Blackwing,Male,blue,-,Black,185,Marvel Comics,-,bad,86
Blackwulf,Male,red,Alien,White,188,Marvel Comics,-,-,88
Blade,Male,brown,Vampire,Black,188,Marvel Comics,-,good,97
Blaquesmith,Other,black,-,No Hair,0,Marvel Comics,-,good,0
Bling!,Female,-,-,-,168,Marvel Comics,-,good,68
Blink,Female,green,Mutant,Magenta,165,Marvel Comics,pink,good,56
Blizzard,Male,-,-,-,0,Marvel Comics,-,bad,0
Blizzard,Male,-,-,Brown,0,Marvel Comics,-,bad,0
Blizzard II,Male,brown,-,Brown,175,Marvel Comics,-,bad,77
Blob,Male,brown,-,Brown,178,Marvel Comics,-,bad,230
Bloodaxe,Female,blue,Human,Brown,218,Marvel Comics,-,bad,495
Bloodhawk,Male,black,Mutant,No Hair,0,Marvel Comics,-,good,0
Bloodwraith,Male,white,-,No Hair,30.5,Marvel Comics,-,bad,0
Blue Beetle,Male,blue,-,Brown,0,DC Comics,-,good,0
Blue Beetle,Male,-,-,-,0,DC Comics,-,good,0
Blue Beetle II,Male,blue,-,Brown,183,DC Comics,-,good,86
Blue Beetle III,Male,brown,Human,Black,0,DC Comics,-,good,0
Boba Fett,Male,brown,Human / Clone,Black,183,George Lucas,-,bad,0
Bolt,Male,-,-,-,0,Marvel Comics,-,good,0
Bomb Queen,Female,-,-,-,0,Image Comics,-,bad,0
Boom-Boom,Female,blue,Mutant,Blond,165,Marvel Comics,-,good,55
Boomer,Female,-,-,-,0,Marvel Comics,-,good,0
Booster Gold,Male,blue,Human,Blond,196,DC Comics,-,good,97
Box,Male,-,-,-,0,Marvel Comics,-,good,0
Box III,Other,blue,-,Blond,193,Marvel Comics,-,good,110
Box IV,Other,brown,-,Brown / Black,0,Marvel Comics,-,good,0
Brainiac,Male,green,Android,No Hair,198,DC Comics,green,bad,135
Brainiac 5,Male,green,-,Blond,170,DC Comics,-,good,61
Brother Voodoo,Male,brown,Human,Brown / White,183,Marvel Comics,-,good,99
Brundlefly,Male,-,Mutant,-,193,none,-,-,0
Buffy,Female,green,Human,Blond,157,Dark Horse Comics,-,good,52
Bullseye,Male,blue,Human,blond,183,Marvel Comics,-,bad,90
Bumblebee,Female,brown,Human,Black,170,DC Comics,-,good,59
Bumbleboy,Male,-,-,-,0,Marvel Comics,-,good,0
Bushido,Male,-,Human,-,0,DC Comics,-,good,0
Cable,Male,blue,Mutant,White,203,Marvel Comics,-,good,158
Callisto,Female,blue,-,Black,175,Marvel Comics,-,bad,74
Cameron Hicks,Male,-,Alpha,-,0,SyFy,-,good,0
Cannonball,Male,blue,-,Blond,183,Marvel Comics,-,good,81
Captain America,Male,blue,Human,blond,188,Marvel Comics,-,good,108
Captain Atom,Male,blue,Human / Radiation,Silver,193,DC Comics,silver,good,90
Captain Britain,Male,blue,Human,Blond,198,Marvel Comics,-,good,116
Captain Cold,Male,brown,Human,Brown,0,DC Comics,-,neutral,0
Captain Epic,Male,blue,-,Brown,188,Team Epic TV,-,good,0
Captain Hindsight,Male,-,Human,Black,0,South Park,-,good,0
Captain Mar-vell,Male,blue,-,Blond,188,Marvel Comics,-,good,108
Captain Marvel,Female,blue,Human-Kree,Blond,180,Marvel Comics,-,good,74
Captain Marvel,Male,blue,Human,Black,193,DC Comics,-,good,101
Captain Marvel II,Male,blue,Human,Black,175,DC Comics,-,good,74
Captain Midnight,Male,-,Human,-,0,Dark Horse Comics,-,good,0
Captain Planet,Male,red,God / Eternal,Green,0,Marvel Comics,-,good,0
Captain Universe,Other,-,God / Eternal,-,0,Marvel Comics,-,good,0
Carnage,Male,green,Symbiote,Red,185,Marvel Comics,-,bad,86
Cat,Female,blue,-,Blond,173,Marvel Comics,-,good,61
Cat II,Female,-,-,-,0,Marvel Comics,-,good,0
Catwoman,Female,green,Human,Black,175,DC Comics,-,good,61
Cecilia Reyes,Other,brown,-,Brown,170,Marvel Comics,-,good,62
Century,Male,white,Alien,White,201,Marvel Comics,grey,good,97
Cerebra,Female,-,Mutant,-,0,Marvel Comics,-,good,0
Chamber,Male,brown,Mutant,Brown,175,Marvel Comics,-,good,63
Chameleon,Male,-,-,-,0,DC Comics,-,bad,0
Changeling,Male,brown,-,Black,180,Marvel Comics,-,bad,81
Cheetah,Female,green,Human,Blond,163,DC Comics,-,bad,50
Cheetah II,Female,green,Human,Brown,170,DC Comics,-,bad,55
Cheetah III,Female,brown,Human,Brown,175,DC Comics,-,bad,54
Chromos,Male,brown,-,Red / Grey,185,Team Epic TV,-,bad,86
Chuck Norris,Male,-,-,-,178,none,-,good,0
Citizen Steel,Male,green,Human,Red,183,DC Comics,-,good,170
Claire Bennet,Female,blue,-,Blond,0,NBC - Heroes,-,good,0
Clea,Other,-,-,White,0,Marvel Comics,-,good,0
Cloak,Male,brown,-,black,226,Marvel Comics,-,good,70
Clock King,Male,blue,Human,Black,178,DC Comics,-,bad,78
Cogliostro,Male,-,-,-,0,Image Comics,-,bad,0
Colin Wagner,Male,grey,-,Brown,0,HarperCollins,-,good,0
Colossal Boy,Male,-,-,-,0,DC Comics,-,good,0
Colossus,Male,silver,Mutant,Black,226,Marvel Comics,-,good,225
Copycat,Female,red,Mutant,White,183,Marvel Comics,blue,neutral,67
Corsair,Male,brown,-,Brown,191,Marvel Comics,-,good,79
Cottonmouth,Male,brown,Human,Black,183,Marvel Comics,-,bad,99
Crimson Crusader,Male,blue,-,Strawberry Blond,0,Marvel Comics,-,good,0
Crimson Dynamo,Male,brown,-,No Hair,180,Marvel Comics,-,good,104
Crystal,Female,green,Inhuman,Red,168,Marvel Comics,-,good,50
Curse,Male,-,-,-,0,Image Comics,-,bad,0
Cy-Gor,Male,-,-,-,0,Image Comics,-,bad,0
Cyborg,Male,brown,Cyborg,Black,198,DC Comics,-,good,173
Cyborg Superman,Male,blue,Cyborg,Black,0,DC Comics,-,bad,0
Cyclops,Male,brown,Mutant,Brown,191,Marvel Comics,-,good,88
Cypher,Other,blue,-,Blond,175,Marvel Comics,-,good,68
Dagger,Female,blue,-,Blond,165,Marvel Comics,-,good,52
Danny Cooper,Male,brown,-,Blond,0,HarperCollins,-,good,0
Daphne Powell,Female,-,-,-,0,ABC Studios,-,good,0
Daredevil,Male,blue,Human,Red,183,Marvel Comics,-,good,90
Darkhawk,Male,brown,Human,Brown,185,Marvel Comics,-,good,81
Darkman,Male,-,-,-,0,Universal Studios,-,good,0
Darkseid,Male,red,New God,No Hair,267,DC Comics,grey,bad,817
Darkside,Other,-,-,-,0,none,-,bad,0
